TestCaseID,ExcelID,Module,ExcelModule,Description,FlowFile,App
AI_57,AI Tools 76,ai,Replace Object,Verify generation processing,ai/AI_57 - Verify generation processing.yaml,com.hp.impulse.sprocket
AI_58,AI Tools 77,ai,Replace Object,Verify result screen UI,ai/AI_58 - Verify result screen UI.yaml,com.hp.impulse.sprocket
AI_59,AI Tools 78,ai,Replace Object,Verify thumbnail swapping,ai/AI_59 - Verify thumbnail swapping.yaml,com.hp.impulse.sprocket
AI_60,AI Tools 79,ai,Replace Object,"Verify ""Generate New"" flow",ai/AI_60 - Verify Generate New flow.yaml,com.hp.impulse.sprocket
AI_61,AI Tools 80,ai,Replace Object,"Verify ""Apply"" functionality",ai/AI_61 - Verify Apply functionality.yaml,com.hp.impulse.sprocket
AI_62,AI Tools 81,ai,Replace Object,Verify failure state UI,ai/AI_62 - Verify failure state UI.yaml,com.hp.impulse.sprocket
AI_63,AI Tools 82,ai,Replace Object,Verify failure exit,ai/AI_63 - Verify failure exit.yaml,com.hp.impulse.sprocket
AI_64,AI Tools 83,ai,Navigation,"Verify ""Grab Object"" entry",ai/AI_64 - Verify Grab Object entry.yaml,com.hp.impulse.sprocket
AI_65,AI Tools 84,ai,Interaction,Verify selection & Brush Size,ai/AI_65 - Verify selection Brush Size.yaml,com.hp.impulse.sprocket
AI_66,AI Tools 85,ai,Processing,Verify generation,ai/AI_66 - Verify generation.yaml,com.hp.impulse.sprocket
AI_67,AI Tools 86,ai,Limit Warning,Verify sticker limit pop-up,ai/AI_67 - Verify sticker limit pop-up.yaml,com.hp.impulse.sprocket
AI_68,AI Tools 87,ai,Save Limit,"Verify ""Save New Sticker""",ai/AI_68 - Verify Save New Sticker.yaml,com.hp.impulse.sprocket
AI_69,AI Tools 88,ai,Cancel,"Verify ""Cancel"" navigation",ai/AI_69 - Verify Cancel navigation.yaml,com.hp.impulse.sprocket
AI_70,AI Tools 89,ai,Print Logic,Verify print settings,ai/AI_70 - Verify print settings.yaml,com.hp.impulse.sprocket
AI_71,AI Tools 90,ai,Restore Photo,Verify Tool Entry,ai/AI_71 - Verify Tool Entry.yaml,com.hp.impulse.sprocket
AI_72,AI Tools 91,ai,Restore Photo,Verify Generation,ai/AI_72 - Verify Generation.yaml,com.hp.impulse.sprocket
AI_73,AI Tools 92,ai,Restore Photo,Verify Result State,ai/AI_73 - Verify Result State.yaml,com.hp.impulse.sprocket
AI_74,AI Tools 93,ai,Restore Photo,"Verify ""Show Original""",ai/AI_74 - Verify Show Original.yaml,com.hp.impulse.sprocket
AI_75,AI Tools 94,ai,Restore Photo,"Verify ""Apply"" Action",ai/AI_75 - Verify Apply Action.yaml,com.hp.impulse.sprocket
AI_76,AI Tools 95,ai,Restore Photo,"Verify ""Cancel"" Action",ai/AI_76 - Verify Cancel Action.yaml,com.hp.impulse.sprocket
AI_77,AI Tools 96,ai,Restore Photo,Verify Printing,ai/AI_77 - Verify Printing.yaml,com.hp.impulse.sprocket
AI_78,AI Tools 97,ai,Navigation,Verify workflow entry,ai/AI_78 - Verify workflow entry.yaml,com.hp.impulse.sprocket
AI_79,AI Tools 98,ai,Generation,Verify processing & loader,ai/AI_79 - Verify processing loader.yaml,com.hp.impulse.sprocket
AI_80,AI Tools 99,ai,Result,Verify Result UI (CR_14B.1),ai/AI_80 - Verify Result UI CR 14B1.yaml,com.hp.impulse.sprocket
AI_81,AI Tools 100,ai,Interaction,"Verify ""Show Original"" toggle",ai/AI_81 - Verify Show Original toggle.yaml,com.hp.impulse.sprocket
AI_82,AI Tools 101,ai,Interaction,"Verify ""Generate New""",ai/AI_82 - Verify Generate New.yaml,com.hp.impulse.sprocket
AI_83,AI Tools 102,ai,Saving,Verify Apply & Save,ai/AI_83 - Verify Apply Save.yaml,com.hp.impulse.sprocket
AI_84,AI Tools 103,ai,Cancellation,Verify Back button,ai/AI_84 - Verify Back button.yaml,com.hp.impulse.sprocket
AI_85,AI Tools 104,ai,Print,Verify Print functionality,ai/AI_85 - Verify Print functionality.yaml,com.hp.impulse.sprocket
AI_86,AI Tools 105,ai,Settings,Verify Copies/Tiles adjustment,ai/AI_86 - Verify CopiesTiles adjustment.yaml,com.hp.impulse.sprocket
AI_87,AI Tools 106,ai,Navigation,Verify workflow entry,ai/AI_87 - Verify workflow entry.yaml,com.hp.impulse.sprocket
AI_88,AI Tools 107,ai,Generation,Verify loader & processing,ai/AI_88 - Verify loader processing.yaml,com.hp.impulse.sprocket
AI_89,AI Tools 108,ai,Result,Verify UI (CR_14C.1),ai/AI_89 - Verify UI CR 14C1.yaml,com.hp.impulse.sprocket
AI_90,AI Tools 109,ai,Interaction,"Verify ""Show Original""",ai/AI_90 - Verify Show Original.yaml,com.hp.impulse.sprocket
AI_91,AI Tools 110,ai,Interaction,"Verify ""Generate New""",ai/AI_91 - Verify Generate New.yaml,com.hp.impulse.sprocket
AI_92,AI Tools 111,ai,Saving,"Verify ""Apply""",ai/AI_92 - Verify Apply.yaml,com.hp.impulse.sprocket
AI_93,AI Tools 112,ai,Cancellation,"Verify ""Cancel""/Back",ai/AI_93 - Verify CancelBack.yaml,com.hp.impulse.sprocket
