TestCaseID,ExcelID,Module,ExcelModule,Description,FlowFile,App
COX_222,HP600_CONN_TC060,connection,Wi-Fi Connection Failure,Verify reconnect after Try Again,connection/COX_222 - Verify reconnect after Try Again.yaml,com.hp.impulse.sprocket
COX_223,HP600_CONN_TC061,connection,Wi-Fi Direct,Verify No Wi-Fi Available screen,connection/COX_223 - Verify No Wi-Fi Available screen.yaml,com.hp.impulse.sprocket
COX_224,HP600_CONN_TC062,connection,Wi-Fi Direct,Verify Cancel on No Wi-Fi Available,connection/COX_224 - Verify Cancel on No Wi-Fi Available.yaml,com.hp.impulse.sprocket
COX_225,HP600_CONN_TC063,connection,Wi-Fi Direct,Verify Open Settings (Android),connection/COX_225 - Verify Open Settings Android.yaml,com.hp.impulse.sprocket
COX_226,HP600_CONN_TC064,connection,Wi-Fi Direct,Verify iOS No Wi-Fi flow,connection/COX_226 - Verify iOS No Wi-Fi flow.yaml,com.hp.impulse.sprocket
COX_227,HP600_CONN_TC065,connection,Wi-Fi Direct,Verify Connect to DIRECT-xxxx screen,connection/COX_227 - Verify Connect to DIRECT-xxxx screen.yaml,com.hp.impulse.sprocket
COX_228,HP600_CONN_TC066,connection,Wi-Fi Direct,Verify Android DIRECT connection,connection/COX_228 - Verify Android DIRECT connection.yaml,com.hp.impulse.sprocket
COX_229,HP600_CONN_TC067,connection,Wi-Fi Direct,Verify iOS DIRECT connection,connection/COX_229 - Verify iOS DIRECT connection.yaml,com.hp.impulse.sprocket
COX_230,HP600_CONN_TC068,connection,Wi-Fi Direct,Verify loading after DIRECT connection,connection/COX_230 - Verify loading after DIRECT connection.yaml,com.hp.impulse.sprocket
COX_231,HP600_CONN_TC069,connection,Wi-Fi Direct,Verify successful Wi-Fi Direct setup,connection/COX_231 - Verify successful Wi-Fi Direct setup.yaml,com.hp.impulse.sprocket
COX_232,HP600_CONN_TC070,connection,Wi-Fi Direct,Verify failed Wi-Fi Direct setup,connection/COX_232 - Verify failed Wi-Fi Direct setup.yaml,com.hp.impulse.sprocket
COX_233,PS-001,connection,Printer Settings,Verify complete Printer Settings screen preview,connection/COX_233 - Verify complete Printer Settings screen preview.yaml,com.hp.impulse.sprocket
COX_234,PS-002,connection,Printer Settings,Verify Nickname update and persistence,connection/COX_234 - Verify Nickname update and persistence.yaml,com.hp.impulse.sprocket
COX_235,PS-003,connection,Printer Settings,Verify Printer Status and Battery field visibility,connection/COX_235 - Verify Printer Status and Battery field visibility.yaml,com.hp.impulse.sprocket
COX_236,PS-004,connection,Printer Settings,Verify LED Color update and persistence,connection/COX_236 - Verify LED Color update and persistence.yaml,com.hp.impulse.sprocket
COX_237,PS-005,connection,Printer Settings,Verify Sleep Timer update and persistence,connection/COX_237 - Verify Sleep Timer update and persistence.yaml,com.hp.impulse.sprocket
COX_238,PS-006,connection,Printer Settings,Verify Auto Off update and persistence,connection/COX_238 - Verify Auto Off update and persistence.yaml,com.hp.impulse.sprocket
COX_239,PS-007,connection,Printer Settings,Verify System section and MAC Address field visibility,connection/COX_239 - Verify System section and MAC Address field visibility.yaml,com.hp.impulse.sprocket
COX_240,PS-008,connection,Printer Settings,Verify Firmware Version field visibility,connection/COX_240 - Verify Firmware Version field visibility.yaml,com.hp.impulse.sprocket
COX_241,PS-009,connection,Printer Settings,,connection/COX_241 - Printer Settings.yaml,com.hp.impulse.sprocket
COX_242,PS-010,connection,Printer Settings,,connection/COX_242 - Printer Settings.yaml,com.hp.impulse.sprocket
COX_243,PS-011,connection,Printer Settings,,connection/COX_243 - Printer Settings.yaml,com.hp.impulse.sprocket
COX_244,PS-012,connection,Printer Settings,,connection/COX_244 - Printer Settings.yaml,com.hp.impulse.sprocket
COX_245,PS-013,connection,Firmware Update,Verify Firmware Update Available popup is displayed,connection/COX_245 - Verify Firmware Update Available popup is displayed.yaml,com.hp.impulse.sprocket
COX_246,PS-014,connection,Firmware Update,Verify Not Right Now button functionality,connection/COX_246 - Verify Not Right Now button functionality.yaml,com.hp.impulse.sprocket
COX_247,PS-015,connection,Firmware Update,,connection/COX_247 - Firmware Update.yaml,com.hp.impulse.sprocket
COX_248,PS-016,connection,Firmware Update,Verify Firmware Download in Progress state,connection/COX_248 - Verify Firmware Download in Progress state.yaml,com.hp.impulse.sprocket
COX_249,PS-017,connection,Firmware Update,Verify Firmware Installation in Progress state,connection/COX_249 - Verify Firmware Installation in Progress state.yaml,com.hp.impulse.sprocket
COX_250,PS-018,connection,Firmware Update,Verify successful firmware update completion,connection/COX_250 - Verify successful firmware update completion.yaml,com.hp.impulse.sprocket
COX_251,PS-019,connection,Printer 200,Verify Printer Detail screen UI elements after successful printer connection,connection/COX_251 - Verify Printer Detail screen UI elements after successful pr.yaml,com.hp.impulse.sprocket
COX_252,PS-020,connection,Manage Printers,Verify Manage Printers screen and printer list,connection/COX_252 - Verify Manage Printers screen and printer list.yaml,com.hp.impulse.sprocket
COX_253,PS-021,connection,Printers detail pages,Verify navigation to Printer Detail screen from printer list,connection/COX_253 - Verify navigation to Printer Detail screen from printer list.yaml,com.hp.impulse.sprocket
COX_254,PS-022,connection,Printers detail pages,,connection/COX_254 - Printers detail pages.yaml,com.hp.impulse.sprocket
COX_255,PS-023,connection,Printers detail pages,,connection/COX_255 - Printers detail pages.yaml,com.hp.impulse.sprocket
